agency,agency,Latitude,Longitude,actively_employed,De-escalation,Mental,Race,(blank),Grand Total,mental_de-escalation_total_over_5_years,mental_deescalation_per_officer,mental_deescalation_per_officer_per_year
G1275 BYRON POLICE DEPARTMENT,Byron Police Department   ,32.658653,-83.766807,26,24,72,,8503,8599,96,3.7,0.8
G1644 MCRAE-HELENA POLICE DEPARTMENT,Mcrae-Helena Police Department   ,32.047918,-82.910927,13,48,,,1753,1801,48,3.7,0.8
G1692 CORDELE POLICE DEPARTMENT,Cordele Police Department   ,31.919861,-83.777354,30,104,7,,8507,8618,111,3.7,0.8
G1664 PEMBROKE POLICE DEPARTMENT,Pembroke Police Department   ,32.13603,-81.62206,11,4,37,4,1604,1649,41,3.7,0.8
G1272 WADLEY POLICE DEPARTMENT,Wadley Police Department   ,32.863678,-82.407516,15,48,8,2,922,980,56,3.7,0.8
G1589 STONE MOUNTAIN POLICE DEPARTMENT,Stone Mountain Police Department  ,33.804911,-84.16991,23,56,30,38,3810,3934,86,3.7,0.8
G1333 HARRIS COUNTY SHERIFFS OFFICE,Harris County Sheriffs Office  ,32.746007,-84.934906,80,136,164,4,11168,11472,300,3.8,0.8
G1575 MURRAY COUNTY SHERIFFS OFFICE,Murray County Sheriffs Office  ,34.785868,-84.772043,82,8,301,,12720,13029,309,3.8,0.8
G1608 GRIFFIN POLICE DEPARTMENT,Griffin Police Department   ,33.245836,-84.276361,89,40,296,,23666,24002,336,3.8,0.8
G1007 BANKS COUNTY SHERIFFS OFFICE,Banks County Sheriffs Office  ,32.602991,-81.57392,58,120,99,,12739,12958,219,3.8,0.8
G1734 PINE LAKE POLICE DEPARTMENT,Pine Lake Police Department  ,33.788577,-84.206971,18,33,36,78,2176,2323,69,3.8,0.8
G1599 TATTNALL COUNTY SHERIFFS OFFICE,Tattnall County Sheriffs Office  ,32.031081,-82.146011,33,,127,,4911,5038,127,3.8,0.8
G1129 ADAIRSVILLE POLICE DEPARTMENT,Adairsville Police Department   ,34.368831,-84.934488,17,,67,,5418,5485,67,3.9,0.8
G1274 EMANUEL COUNTY SHERIFFS OFFICE,Emanuel County Sheriffs Office  ,32.569871,-82.346181,48,32,159,,4299,4490,191,4,0.8
G1700 DULUTH POLICE DEPARTMENT,Duluth Police Department   ,33.99693,-84.147979,76,127,176,101,22014,22418,303,4,0.8
G1386 UNION POINT POLICE DEPARTMENT,Union Point Police Department  ,33.61568,-83.0746,7,26,2,,1539,1567,28,4,0.8
G2328 CENTRAL GEORGIA TECHNICAL COLLEGE POLICE,Central Georgia Technical College Police ,32.814251,-83.690888,8,2,30,20,2714,2766,32,4,0.8
G1745 WHITFIELD COUNTY SHERIFFS OFFICE,Whitfield County Sheriffs Office  ,34.759522,-84.951261,178,256,460,4,45548,46268,716,4,0.8
G1517 DAWSON POLICE DEPARTMENT,Dawson Police Department   ,31.768956,-84.43694,25,,79,2,3553,3634,79,3.2,0.7
G1156 LOUISVILLE POLICE DEPARTMENT,Louisville Police Department   ,33.028798,-82.437965,9,24,5,,734,763,29,3.2,0.7
G1682 AMERICUS POLICE DEPARTMENT,Americus Police Department   ,32.070694,-84.232176,35,,113,24,7452,7589,113,3.2,0.7
G1477 MONROE COUNTY SHERIFFS OFFICE,Monroe County Sheriffs Office  ,33.025944,-83.915021,93,80,222,4,24602,24908,302,3.2,0.7
G1051 REYNOLDS POLICE DEPARTMENT,Reynolds Police Department   ,32.551695,-84.092715,8,20,6,,2166,2192,26,3.3,0.7
G1450 CAMDEN COUNTY SHERIFFS OFFICE,Camden County Sheriffs Office  ,30.939072,-81.703469,143,51,418,137,20867,21473,469,3.3,0.7
G1147 NORCROSS POLICE DEPARTMENT,Norcross Police Department   ,33.942758,-84.211414,55,92,89,,11642,11823,181,3.3,0.7
G1667 NEWNAN POLICE DEPARTMENT,Newnan Police Department   ,33.380243,-84.797424,88,148,142,48,25819,26157,290,3.3,0.7
