agency,agency,Latitude,Longitude,actively_employed,De-escalation,Mental,Race,(blank),Grand Total,mental_de-escalation_total_over_5_years,mental_deescalation_per_officer,mental_deescalation_per_officer_per_year
G1534 SCREVEN POLICE DEPARTMENT,Screven Police Department   ,31.487317,-82.01704,7,24,1,6,567,598,25,3.6,0.7
G1388 FORT OGLETHORPE POLICE DEPT,Fort Oglethorpe Police Dept  ,34.950997,-85.245355,27,24,48,,4892,4964,72,2.7,0.6
G1715 WHEELER COUNTY SHERIFFS OFFICE,Wheeler County Sheriffs Office  ,32.14993,-82.782061,15,,40,,1055,1095,40,2.7,0.6
G1502 GWINNETT COUNTY PUBLIC SCHOOL POLICE,Gwinnett County Public School Police ,34.00565,-84.067532,74,52,147,,10689,10888,199,2.7,0.6
G1540 WEST POINT POLICE DEPARTMENT,West Point Police Department  ,32.907328,-85.077535,23,28,34,28,5594,5684,62,2.7,0.6
G1712 COHUTTA POLICE DEPARTMENT,Cohutta Police Department   ,34.95952,-84.95272,8,,22,,802,824,22,2.8,0.6
G2354 AUGUSTA TECH. COLLEGE POLICE,Augusta Tech. College Police  ,33.419268,-82.050398,13,22,14,32,1964,2032,36,2.8,0.6
G1250 LAKE CITY POLICE DEPARTMENT,Lake City Police Department  ,33.606879,-84.343502,22,40,21,,3783,3844,61,2.8,0.6
G1081 EMERSON POLICE DEPARTMENT,Emerson Police Department   ,34.343576,-84.715845,9,8,17,,1692,1717,25,2.8,0.6
G1433 LENOX POLICE DEPARTMENT,Lenox Police Department   ,31.271045,-83.468529,9,20,5,,443,468,25,2.8,0.6
G1022 COBB COUNTY POLICE DEPARTMENT,Cobb County Police Department  ,33.958725,-84.546627,663,736,1106,46,252242,254130,1842,2.8,0.6
G1669 CHAMBLEE POLICE DEPARTMENT,Chamblee Police Department   ,33.895429,-84.298496,78,106,111,24,18256,18497,217,2.8,0.6
G1675 EVANS COUNTY SHERIFFS OFFICE,Evans County Sheriffs Office  ,32.160611,-81.923832,15,,42,18,2177,2237,42,2.8,0.6
G1625 MORGAN COUNTY SHERIFFS OFFICE,Morgan County Sheriffs Office  ,33.561718,-83.498842,59,,166,,6487,6653,166,2.8,0.6
G1379 CRISP COUNTY SHERIFFS OFFICE,Crisp County Sheriffs Office  ,31.923348,-83.778253,99,34,252,,20992,21278,286,2.9,0.6
G1432 LAURENS COUNTY SHERIFFS OFFICE,Laurens County Sheriffs Office  ,32.496997,-82.920849,88,,257,,14409,14666,257,2.9,0.6
G1528 OCILLA POLICE DEPARTMENT,Ocilla Police Department   ,31.599221,-83.249526,19,49,7,,2355,2411,56,2.9,0.6
G1541 TREUTLEN COUNTY SHERIFFS OFFICE,Treutlen County Sheriffs Office  ,32.383145,-82.557135,22,,65,,3580,3645,65,3,0.6
G1533 OGLETHORPE COUNTY SHERIFFS OFFICE,Oglethorpe County Sheriffs Office  ,33.85281,-83.020293,41,4,118,,3475,3597,122,3,0.6
G1214 MCDONOUGH POLICE DEPARTMENT,Mcdonough Police Department   ,33.449609,-84.145455,56,20,147,24,12836,13027,167,3,0.6
G1106 PORTERDALE POLICE DEPARTMENT,Porterdale Police Department   ,34.17687,-84.502376,8,24,,4,1367,1395,24,3,0.6
G1488 TOCCOA POLICE DEPARTMENT,Toccoa Police Department   ,34.554103,-83.288828,33,88,11,,7231,7330,99,3,0.6
G1490 FAYETTEVILLE POLICE DEPARTMENT,Fayetteville Police Department   ,33.432957,-84.446125,45,135,,,13337,13472,135,3,0.6
G1075 SENOIA POLICE DEPARTMENT,Senoia Police Department   ,33.285373,-84.602516,15,20,27,,4216,4263,47,3.1,0.6
G1013 BURKE COUNTY SHERIFFS OFFICE,Burke County Sheriffs Office  ,33.080724,-81.986767,53,52,64,141,5204,5461,116,2.2,0.5
G1702 BRASWELL POLICE DEPARTMENT,Braswell Police Department   ,33.989649,-84.962883,5,8,3,9,437,457,11,2.2,0.5
G1277 MONTICELLO POLICE DEPARTMENT,Monticello Police Department   ,33.299715,-83.685695,9,20,,2,671,693,20,2.2,0.5
G1294 PUTNAM COUNTY SHERIFFS OFFICE,Putnam County Sheriffs Office  ,33.320818,-83.355865,63,136,4,,7041,7181,140,2.2,0.5
G1438 JESUP POLICE DEPARTMENT,Jesup Police Department   ,31.614761,-81.899486,28,32,31,32,6235,6330,63,2.3,0.5
G1653 WILKINSON COUNTY SHERIFFS OFFICE,Wilkinson County Sheriffs Office  ,32.751414,-83.145237,37,,84,,4781,4865,84,2.3,0.5
G1254 HOMERVILLE POLICE DEPARTMENT,Homerville Police Department   ,31.036525,-82.751767,10,20,3,,843,866,23,2.3,0.5
G1116 GLYNN COUNTY POLICE DEPARTMENT,Glynn County Police Department  ,31.26089,-81.498463,113,124,142,2084,24916,27266,266,2.4,0.5
G1358 WRENS POLICE DEPARTMENT,Wrens Police Department   ,33.209338,-82.377338,14,24,9,4,1070,1107,33,2.4,0.5
G1553 BERRIEN COUNTY SHERIFFS OFFICE,Berrien County Sheriffs Office  ,31.191293,-83.273643,48,,114,,3809,3923,114,2.4,0.5
G1603 A.B.A.C. POLICE DEPARTMENT,A.B.A.C. Police Department   ,31.480208,-83.524827,15,32,4,,2607,2643,36,2.4,0.5
G1605 SANDERSVILLE POLICE DEPARTMENT,Sandersville Police Department   ,32.974982,-82.840564,19,20,26,8,3439,3493,46,2.4,0.5
G1415 OAKWOOD POLICE DEPARTMENT,Oakwood Police Department   ,34.239428,-83.897612,14,,34,,2681,2715,34,2.4,0.5
G1532 AUBURN POLICE DEPARTMENT,Auburn Police Department   ,34.012888,-83.825455,20,,49,10,3053,3112,49,2.5,0.5
G1806 LAWRENCEVILLE POLICE DEPT,Lawrenceville Police Dept   ,33.948631,-83.995764,82,48,153,62,26105,26368,201,2.5,0.5
G1744 UNION CITY POLICE DEPARTMENT,Union City Police Department  ,33.579229,-84.553951,62,144,8,397,20392,20941,152,2.5,0.5
G1666 HARALSON COUNTY SHERIFFS OFFICE,Haralson County Sheriffs Office  ,33.836682,-85.210444,67,160,5,,6802,6967,165,2.5,0.5
G1069 MIDWAY POLICE DEPT.,Midway Police Dept.   ,31.778847,-81.420626,6,,15,,1121,1136,15,2.5,0.5
G1050 BLOOMINGDALE POLICE DEPARTMENT,Bloomingdale Police Department   ,32.107103,-81.291335,17,,43,47,3796,3886,43,2.5,0.5
G1649 SYLVANIA POLICE DEPARTMENT,Sylvania Police Department   ,32.749883,-81.645857,17,,43,,2958,3001,43,2.5,0.5
G1123 PEARSON POLICE DEPARTMENT,Pearson Police Department   ,31.340836,-82.853406,9,20,3,,787,810,23,2.6,0.5
G1086 BARNESVILLE POLICE DEPARTMENT,Barnesville Police Department   ,33.056251,-84.155724,23,,59,,4271,4330,59,2.6,0.5
G1713 SEMINOLE COUNTY SHERIFFS OFFICE,Seminole County Sheriffs Office  ,31.041764,-84.885358,34,72,16,4,3779,3871,88,2.6,0.5
G1585 SWAINSBORO POLICE DEPARTMENT,Swainsboro Police Department   ,32.598215,-82.335003,22,48,9,,4721,4778,57,2.6,0.5
G1504 BUCHANAN POLICE DEPARTMENT,Buchanan Police Department   ,33.836682,-85.210444,10,12,14,,1159,1185,26,2.6,0.5
G1680 GEORGIA POST COUNCIL POLICE,Georgia Post Council Police  ,33.912473,-84.557181,29,72,4,38,1992,2106,76,2.6,0.5
G1326 CHATTOOGA COUNTY SHERIFFS OFFICE,Chattooga County Sheriffs Office  ,34.48543,-85.355357,51,,134,,4521,4655,134,2.6,0.5
G1262 ELBERTON POLICE DEPARTMENT,Elberton Police Department   ,34.11293,-82.851837,20,20,14,,5355,5389,34,1.7,0.4
G1259 CORNELIA POLICE DEPARTMENT,Cornelia Police Department   ,34.535213,-83.574032,17,24,5,,4244,4273,29,1.7,0.4
G1652 BRYAN COUNTY SHERIFFS OFFICE,Bryan County Sheriffs Office  ,32.134517,-81.618419,78,48,86,16,6908,7058,134,1.7,0.4
G1049 SPRINGFIELD POLICE DEPARTMENT,Springfield Police Department   ,32.369703,-81.361775,12,18,3,4,667,692,21,1.8,0.4
G1696 LEESBURG POLICE DEPARTMENT,Leesburg Police Department   ,31.763715,-84.160359,14,,25,,1593,1618,25,1.8,0.4
G1686 HEARD COUNTY SHERIFFS OFFICE,Heard County Sheriffs Office  ,33.278005,-85.134045,36,32,33,,4441,4506,65,1.8,0.4
G1247 DUBLIN POLICE DEPARTMENT,Dublin Police Department   ,32.540073,-82.914974,58,100,8,228,12306,12642,108,1.9,0.4
G1194 CARROLL COUNTY SHERIFFS OFFICE,Carroll County Sheriffs Office  ,33.567188,-85.046734,194,9,354,109,32508,32980,363,1.9,0.4
G1381 DADE COUNTY SHERIFFS OFFICE,Dade County Sheriffs Office  ,34.871687,-85.50208,45,28,57,56,6321,6462,85,1.9,0.4
G1500 AUSTELL POLICE DEPARTMENT,Austell Police Department   ,33.814221,-84.635193,36,44,24,,5541,5609,68,1.9,0.4
G1485 DOOLY COUNTY SHERIFFS OFFICE,Dooly County Sheriffs Office  ,32.182652,-83.778422,71,,135,,12395,12530,135,1.9,0.4
G1356 ASHBURN POLICE DEPARTMENT,Ashburn Police Department   ,31.723074,-83.644063,15,8,21,,3582,3611,29,1.9,0.4
G1559 DONALSONVILLE POLICE DEPT.,Donalsonville Police Dept.   ,31.04046,-84.87909,15,16,13,,1262,1291,29,1.9,0.4
G1012 SYLVESTER POLICE DEPARTMENT,Sylvester Police Department   ,31.603336,-83.850054,25,44,5,,7132,7181,49,2,0.4
G1001 GROVETOWN POLICE DEPARTMENT,Grovetown Police Department   ,33.453814,-82.207075,33,62,3,,6514,6579,65,2,0.4
G1128 LUMPKIN COUNTY SHERIFFS OFFICE,Lumpkin County Sheriffs Office  ,34.536237,-83.978701,87,,172,12,17079,17263,172,2,0.4
G1240 MILLEDGEVILLE POLICE DEPT.,Milledgeville Police Dept.   ,33.078582,-83.24765,62,20,103,,9482,9605,123,2,0.4
G1233 HOGANSVILLE POLICE DEPARTMENT,Hogansville Police Department   ,33.169377,-84.900665,20,,40,,3936,3976,40,2,0.4
G1440 DANIELSVILLE POLICE DEPARTMENT,Danielsville Police Department   ,34.152968,-83.262772,4,8,,,623,631,8,2,0.4
G1566 MEIGS POLICE DEPARTMENT,Meigs Police Department   ,31.069841,-84.095373,1,,2,,331,333,2,2,0.4
G1660 GLENWOOD POLICE DEPARTMENT,Glenwood Police Department   ,32.224546,-82.71513,5,,10,,386,396,10,2,0.4
G1663 METTER POLICE DEPARTMENT,Metter Police Department   ,32.39938,-82.048201,11,16,6,,2012,2034,22,2,0.4
G1817 WHITE POLICE DEPARTMENT,White Police Department   ,34.264331,-84.753929,1,,2,,243,245,2,2,0.4
G2441 ATHENS TECHNICAL COLLEGE POLICE,Athens Technical College Police  ,34.00443,-83.331946,2,2,2,4,430,438,4,2,0.4
G1285 OCONEE COUNTY SHERIFFS OFFICE,Oconee County Sheriffs Office  ,33.8629,-83.40877,95,20,171,70,17865,18126,191,2,0.4
G2326 WEST GEORGIA TECHNICAL COLLEGE POLICE,West Georgia Technical College Police ,33.691552,-85.183495,38,6,72,4,3173,3255,78,2.1,0.4
G1344 LOGANVILLE POLICE DEPARTMENT,Loganville Police Department   ,33.876889,-83.896781,30,44,19,,4839,4902,63,2.1,0.4
G1401 GLASCOCK COUNTY SHERIFFS OFFICE,Glascock County Sheriffs Office  ,33.223471,-82.599738,9,,19,,1084,1103,19,2.1,0.4
G1213 FLOWERY BRANCH POLICE DEPT,Flowery Branch Police Dept  ,34.1851,-83.92518,16,32,2,,2136,2170,34,2.1,0.4
G1239 DORAVILLE POLICE DEPARTMENT,Doraville Police Department   ,34.209328,-84.132451,64,21,115,,12052,12188,136,2.1,0.4
G1360 TALIAFERRO COUNTY SHERIFFS OFFICE,Taliaferro County Sheriffs Office  ,33.577007,-82.858099,23,24,4,,2604,2632,28,1.2,0.3
G1693 ELLAVILLE POLICE DEPARTMENT,Ellaville Police Department   ,32.209028,-84.277064,8,,10,2,1229,1241,10,1.3,0.3
G1462 VARNELL POLICE DEPARTMENT,Varnell Police Department   ,34.89765,-84.977052,11,8,6,,953,967,14,1.3,0.3
G1577 EASTMAN POLICE DEPARTMENT,Eastman Police Department   ,32.143564,-83.194358,13,,17,,1175,1192,17,1.3,0.3
G1324 ADRIAN POLICE DEPARTMENT,Adrian Police Department   ,32.531442,-82.594295,3,,4,,188,192,4,1.3,0.3
G1496 GORDON POLICE DEPARTMENT,Gordon Police Department   ,32.881267,-83.302945,12,16,,,793,809,16,1.3,0.3
G2186 LANIER COUNTY BOARD OF EDUCATION POLICE,Lanier County Board Of Education Police,31.038616,-83.074227,3,,4,,316,320,4,1.3,0.3
G2346 NORTH GEORGIA TECHNICAL COLLEGE POLICE,North Georgia Technical College Police ,34.655918,-83.508274,9,,12,,1600,1612,12,1.3,0.3
G1372 CRAWFORD COUNTY SHERIFFS OFFICE,Crawford County Sheriffs Office  ,32.687207,-84.010581,32,30,13,,3181,3224,43,1.3,0.3
G1006 SUMTER COUNTY SHERIFFS OFFICE,Sumter County Sheriffs Office  ,32.040432,-84.215282,103,8,133,,13010,13151,141,1.4,0.3
G1420 ROYSTON POLICE DEPARTMENT,Royston Police Department   ,34.284853,-83.110555,16,,22,12,2681,2715,22,1.4,0.3
G1632 NASHVILLE POLICE DEPARTMENT,Nashville Police Department   ,31.20679,-83.253282,13,,18,,1804,1822,18,1.4,0.3
G1448 DAVISBORO POLICE DEPARTMENT,Davisboro Police Department   ,32.981439,-82.813526,5,,7,,71,78,7,1.4,0.3
G1189 SPALDING COUNTY SHERIFFS OFFICE,Spalding County Sheriffs Office  ,33.233683,-84.291432,153,77,141,1,24631,24850,218,1.4,0.3
G1661 TRION POLICE DEPARTMENT,Trion Police Department   ,34.54397,-85.31051,14,8,12,,2140,2160,20,1.4,0.3
G1342 BRASELTON POLICE DEPARTMENT,Braselton Police Department   ,34.10927,-83.76267,16,20,3,,3011,3034,23,1.4,0.3
G1698 BUTTS COUNTY SHERIFFS OFFICE,Butts County Sheriffs Office  ,33.295176,-83.947895,95,46,91,,14844,14981,137,1.4,0.3
G1531 GLYNN COUNTY SHERIFFS OFFICE,Glynn County Sheriffs Office  ,31.153313,-81.496606,147,,212,37,11566,11815,212,1.4,0.3
G1178 MCINTOSH COUNTY SHERIFFS OFFICE,Mcintosh County Sheriffs Office  ,31.417006,-81.461806,66,8,88,88,8139,8323,96,1.5,0.3
G1451 EATONTON POLICE DEPARTMENT,Eatonton Police Department   ,33.320818,-83.355865,33,45,3,,3818,3866,48,1.5,0.3
G1100 SNELLVILLE POLICE DEPARTMENT,Snellville Police Department   ,33.858986,-84.014148,65,8,89,4,14746,14847,97,1.5,0.3
G1142 LINCOLNTON POLICE DEPARTMENT,Lincolnton Police Department   ,33.812714,-82.453456,6,,9,16,553,578,9,1.5,0.3
G1513 TALBOT COUNTY SHERIFFS OFFICE,Talbot County Sheriffs Office  ,32.653804,-84.535618,15,1,22,,1261,1284,23,1.5,0.3
G1569 BERRY COLLEGE POLICE DEPT.,Berry College Police Dept.  ,34.280355,-85.182085,13,18,2,10,1833,1863,20,1.5,0.3
G1099 PERRY POLICE DEPARTMENT,Perry Police Department   ,32.43194,-83.722649,41,64,1,4,11243,11312,65,1.6,0.3
G1082 BUENA VISTA POLICE DEPARTMENT,Buena Vista Police Department  ,32.254152,-84.489818,5,,8,,564,572,8,1.6,0.3
G1600 ELBERT COUNTY SHERIFFS OFFICE,Elbert County Sheriffs Office  ,34.111082,-82.872852,65,24,80,,5942,6046,104,1.6,0.3
G1260 LONG COUNTY SHERIFFS OFFICE,Long County Sheriffs Office  ,31.780996,-81.773916,36,,60,8,5814,5882,60,1.7,0.3
G1270 ALAPAHA POLICE DEPARTMENT,Alapaha Police Department   ,31.383968,-83.221348,4,,3,,121,124,3,0.8,0.2
G1472 PELHAM POLICE DEPARTMENT,Pelham Police Department   ,31.125205,-84.154281,28,,21,,1360,1381,21,0.8,0.2
G1672 PALMETTO POLICE DEPARTMENT,Palmetto Police Department   ,33.528947,-84.663229,16,,12,,1716,1728,12,0.8,0.2
G1831 FRANKLIN SPRINGS POLICE DEPT,Franklin Springs Police Dept  ,34.274306,-83.147024,8,,6,,700,706,6,0.8,0.2
G1658 LINCOLN COUNTY SHERIFFS OFFICE,Lincoln County Sheriffs Office  ,33.812714,-82.453456,47,,36,,1652,1688,36,0.8,0.2
G1515 LEE COUNTY SHERIFFS OFFICE,Lee County Sheriffs Office  ,31.62665,-84.120277,91,,70,51,14375,14496,70,0.8,0.2
G1402 HELEN POLICE DEPARTMENT,Helen Police Department   ,34.729196,-83.720937,18,,14,,1819,1833,14,0.8,0.2
G1839 ENIGMA POLICE DEPARTMENT,Enigma Police Department   ,31.417797,-83.355349,9,,7,,460,467,7,0.8,0.2
G1313 SCREVEN COUNTY SHERIFFS OFFICE,Screven County Sheriffs Office  ,32.749699,-81.706104,41,4,28,10,2826,2868,32,0.8,0.2
G1035 CLEVELAND POLICE DEPARTMENT,Cleveland Police Department   ,34.595944,-83.659572,14,,11,,2779,2790,11,0.8,0.2
G1671 ROCHELLE POLICE DEPARTMENT,Rochelle Police Department   ,31.948411,-83.453578,5,,4,,631,635,4,0.8,0.2
G2301 WIREGRASS GA. TECHNICAL COLLEGE POLICE,Wiregrass Ga. Technical College Police ,30.894151,-83.361224,5,2,2,4,361,369,4,0.8,0.2
G1428 FAIRBURN POLICE DEPARTMENT,Fairburn Police Department   ,33.56322,-84.584058,44,24,12,,7920,7956,36,0.8,0.2
G2364 CLAYTON COUNTY  SCHOOL POLICE,Clayton County School Police  ,33.536182,-84.358091,44,,36,,12240,12276,36,0.8,0.2
G2084 WALTHOURVILLE POLICE DEPARTMENT,Walthourville Police Department   ,31.770473,-81.62083,6,,5,20,439,464,5,0.8,0.2
G1742 EUHARLEE POLICE DEPARTMENT,Euharlee Police Department   ,34.147187,-84.935174,14,,12,,1203,1215,12,0.9,0.2
G1190 MOUNT AIRY POLICE DEPARTMENT,Mount Airy Police Department  ,34.51871,-83.50073,8,,7,,224,231,7,0.9,0.2
G1094 HANCOCK COUNTY SHERIFFS OFFICE,Hancock County Sheriffs Office  ,33.355102,-82.813531,53,40,7,12,3265,3324,47,0.9,0.2
G1378 TERRELL COUNTY SHERIFFS OFFICE,Terrell County Sheriffs Office  ,31.76615,-84.438586,30,,28,2,2699,2729,28,0.9,0.2
G1307 JASPER POLICE DEPARTMENT,Jasper Police Department   ,34.471872,-84.422966,16,8,7,,2323,2338,15,0.9,0.2
G1482 COOK COUNTY SHERIFFS OFFICE,Cook County Sheriffs Office  ,31.124571,-83.440087,53,8,42,30,7117,7197,50,0.9,0.2
G1053 HARTWELL POLICE DEPARTMENT,Hartwell Police Department   ,34.352301,-82.931905,27,,27,,5784,5811,27,1,0.2
G1085 NEWTON POLICE DEPARTMENT,Newton Police Department   ,31.31296,-84.33574,2,,2,,259,261,2,1,0.2
G1126 SOUTH GEORGIA TECH POLICE DEPT,South Georgia Tech Police Dept ,32.119096,-84.192582,1,,1,,,1,1,1,0.2
G1195 ARAGON POLICE DEPARTMENT,Aragon Police Department   ,34.043748,-85.059614,4,,4,,541,545,4,1,0.2
G1222 MOUNT ZION POLICE DEPARTMENT,Mount Zion Police Department  ,33.643002,-85.181782,9,4,5,8,1400,1417,9,1,0.2
G1431 SCHLEY COUNTY SHERIFFS OFFICE,Schley County Sheriffs Office  ,32.209028,-84.277064,9,,9,1,462,472,9,1,0.2
G1445 MIDVILLE POLICE DEPARTMENT,Midville Police Department   ,32.926431,-82.172337,2,,2,4,368,374,2,1,0.2
G1576 COOLIDGE POLICE DEPARTMENT,Coolidge Police Department   ,30.976287,-83.871284,1,,1,,199,200,1,1,0.2
G1629 BACON COUNTY SHERIFFS OFFICE,Bacon County Sheriffs Office  ,31.576952,-82.461197,18,,18,,2023,2041,18,1,0.2
G1767 MILAN POLICE DEPARTMENT,Milan Police Department   ,32.0174,-83.06265,1,,1,,49,50,1,1,0.2
G2325 DOOLY COUNTY SCHOOL POLICE,Dooly County School Police  ,32.090167,-83.79314,2,,2,,1628,1630,2,1,0.2
G1077 TALLAPOOSA POLICE DEPARTMENT,Tallapoosa Police Department   ,33.743068,-85.284702,16,,17,,2330,2347,17,1.1,0.2
G1364 ROBERTA POLICE DEPARTMENT,Roberta Police Department   ,32.687207,-84.010581,8,6,3,,1219,1228,9,1.1,0.2
G1523 PLAINS POLICE DEPARTMENT,Plains Police Department   ,32.034121,-84.392691,8,,9,,465,474,9,1.1,0.2
G1418 RINGGOLD POLICE DEPARTMENT,Ringgold Police Department   ,34.916489,-85.108999,15,,17,,3245,3262,17,1.1,0.2
G1630 MITCHELL COUNTY SHERIFFS OFFICE,Mitchell County Sheriffs Office  ,31.249152,-84.242837,44,,50,,3803,3853,50,1.1,0.2
G1110 BOWDON POLICE DEPARTMENT,Bowdon Police Department   ,33.53793,-85.252029,14,,16,,1537,1553,16,1.1,0.2
G1083 UNION COUNTY SHERIFFS OFFICE,Union County Sheriffs Office  ,34.874719,-83.942397,80,20,72,,8296,8388,92,1.2,0.2
G1038 WARWICK POLICE DEPARTMENT,Warwick Police Department   ,31.83101,-83.91879,8,,2,,951,953,2,0.3,0.1
G1291 HOBOKEN POLICE DEPARTMENT,Hoboken Police Department   ,31.178954,-82.123686,4,,1,,621,622,1,0.3,0.1
G1452 POULAN POLICE DEPARTMENT,Poulan Police Department   ,31.538397,-83.784347,8,,2,,648,650,2,0.3,0.1
G1535 RICHLAND POLICE DEPARTMENT,Richland Police Department   ,32.093715,-84.668644,12,,3,,1059,1062,3,0.3,0.1
G1731 ARLINGTON POLICE DEPARTMENT,Arlington Police Department   ,31.4399,-84.72492,4,,1,,377,378,1,0.3,0.1
G1003 WORTH COUNTY SHERIFFS OFFICE,Worth County Sheriffs Office  ,31.527689,-83.835529,27,,7,,5017,5024,7,0.3,0.1
G1411 BRANTLEY COUNTY SHERIFFS OFFICE,Brantley County Sheriffs Office  ,31.195458,-81.769039,42,,11,,3387,3398,11,0.3,0.1
G1120 HOMELAND POLICE DEPARTMENT,Homeland Police Department   ,30.856681,-82.021183,7,,2,,112,114,2,0.3,0.1
G1560 RANDOLPH COUNTY SHERIFFS OFFICE,Randolph County Sheriffs Office  ,31.731183,-84.832234,35,7,3,4,1977,1991,10,0.3,0.1
G2347 ATLANTA TECHNICAL COLLEGE POLICE DEPT.,Atlanta Technical College Police Dept. ,33.71194,-84.404223,14,2,2,4,1936,1944,4,0.3,0.1
G1708 JEFF DAVIS COUNTY SHERIFFS OFFICE,Jeff Davis County Sheriffs Office ,31.685812,-82.657399,38,,11,,2095,2106,11,0.3,0.1
G1162 HIAWASSEE POLICE DEPARTMENT,Hiawassee Police Department   ,34.945875,-83.75914,17,,5,,518,523,5,0.3,0.1
G1709 WASHINGTON COUNTY SHERIFFS OFFICE,Washington County Sheriffs Office  ,32.974982,-82.840564,60,,18,,4023,4041,18,0.3,0.1
G1066 EAST DUBLIN POLICE DEPARTMENT,East Dublin Police Department  ,32.547808,-82.870624,13,,4,1,1136,1141,4,0.3,0.1
G1115 JEFFERSON COUNTY SHERIFFS OFFICE,Jefferson County Sheriffs Office  ,33.028798,-82.437965,52,,17,,3062,3079,17,0.3,0.1
G1034 SYCAMORE POLICE DEPARTMENT,Sycamore Police Department   ,31.67391,-83.636912,6,,2,,262,264,2,0.3,0.1
G1508 FAIRMOUNT POLICE DEPARTMENT,Fairmount Police Department   ,34.462493,-84.743027,9,,3,,640,643,3,0.3,0.1
G1615 QUITMAN COUNTY SHERIFFS OFFICE,Quitman County Sheriffs Office  ,31.844937,-85.104383,6,,2,,568,570,2,0.3,0.1
G1668 WOODLAND POLICE DEPARTMENT,Woodland Police Department   ,32.790007,-84.56542,3,,1,,73,74,1,0.3,0.1
G1739 NICHOLLS POLICE DEPARTMENT,Nicholls Police Department   ,31.504909,-82.703064,12,,4,,418,422,4,0.3,0.1
G1741 STEWART COUNTY SHERIFFS OFFICE,Stewart County Sheriffs Office  ,32.069538,-84.728093,12,,4,,687,691,4,0.3,0.1
G1832 SOUTHEAST GA REGIONAL MED CTR. POLICE,Southeast Ga Regional Med Ctr. Police,31.17376,-81.483199,6,,2,4,415,421,2,0.3,0.1
G1480 COMMERCE POLICE DEPARTMENT,Commerce Police Department   ,34.217179,-83.482653,29,,10,,3785,3795,10,0.3,0.1
G1297 CUTHBERT POLICE DEPARTMENT,Cuthbert Police Department   ,31.731183,-84.832234,11,,4,,402,406,4,0.4,0.1
G1727 WILCOX COUNTY SHERIFFS OFFICE,Wilcox County Sheriffs Office  ,31.977048,-83.372515,11,4,,,1372,1376,4,0.4,0.1
G1422 MILLEN POLICE DEPARTMENT,Millen Police Department   ,32.779376,-81.973904,16,6,,,34,40,6,0.4,0.1
G1816 WALKER COUNTY POLICE DEPARTMENT,Walker County Police Department  ,34.697006,-85.255273,8,,3,1,366,370,3,0.4,0.1
G1318 FRANKLIN COUNTY SHERIFFS OFFICE,Franklin County Sheriffs Office  ,34.363122,-83.254745,72,,28,,7883,7911,28,0.4,0.1
G1088 NAHUNTA POLICE DEPARTMENT,Nahunta Police Department   ,31.195458,-81.769039,5,,2,1,148,151,2,0.4,0.1
G1300 BROXTON POLICE DEPARTMENT,Broxton Police Department   ,31.603532,-82.875413,10,,4,,544,548,4,0.4,0.1
G1749 MCINTYRE POLICE DEPARTMENT,Mcintyre Police Department   ,32.886524,-83.231724,5,,2,,792,794,2,0.4,0.1
G1768 MOLENA POLICE DEPARTMENT,Molena Police Department   ,33.022288,-84.436925,10,,4,,662,666,4,0.4,0.1
G1105 PIKE COUNTY SHERIFFS OFFICE,Pike County Sheriffs Office  ,33.077371,-84.321736,47,,20,,5749,5769,20,0.4,0.1
G1278 FORT GAINES POLICE DEPARTMENT,Fort Gaines Police Department  ,31.605174,-85.049942,7,,3,,291,294,3,0.4,0.1
G1303 MILLEN POLICE DEPARTMENT,Millen Police Department   ,32.779376,-81.973904,16,,7,,1318,1325,7,0.4,0.1
G1716 MILLER COUNTY SHERIFFS OFFICE,Miller County Sheriffs Office  ,31.174141,-84.738197,16,,7,,1337,1344,7,0.4,0.1
G1118 TWIGGS COUNTY SHERIFFS OFFICE,Twiggs County Sheriffs Office  ,32.661271,-83.331033,47,20,1,,5136,5157,21,0.4,0.1
G1586 HART COUNTY SHERIFFS OFFICE,Hart County Sheriffs Office  ,34.361177,-82.941703,60,,27,,4147,4174,27,0.5,0.1
G1322 JONES COUNTY SHERIFFS OFFICE,Jones County Sheriffs Office  ,32.991607,-83.567362,77,20,16,,12207,12243,36,0.5,0.1
G1563 CUMMING POLICE DEPARTMENT,Cumming Police Department   ,34.202944,-84.140226,21,,10,,3889,3899,10,0.5,0.1
G1578 BEN HILL COUNTY SHERIFFS OFFICE,Ben Hill County Sheriffs Office ,31.748753,-83.235412,63,,30,44,5888,5962,30,0.5,0.1
G1062 DODGE COUNTY SHERIFFS OFFICE,Dodge County Sheriffs Office  ,32.200429,-83.175376,50,,24,,3785,3809,24,0.5,0.1
G1046 TELFAIR COUNTY SHERIFFS OFFICE,Telfair County Sheriffs Office  ,31.991688,-83.202752,27,,13,,1779,1792,13,0.5,0.1
G1033 COFFEE COUNTY SHERIFFS OFFICE,Coffee County Sheriffs Office  ,31.515962,-82.892436,118,,58,20,11129,11207,58,0.5,0.1
G1020 COLLINS POLICE DEPARTMENT,Collins Police Department   ,32.1813,-82.10901,2,,1,,106,107,1,0.5,0.1
G1043 EDISON POLICE DEPARTMENT,Edison Police Department   ,31.55823,-84.73825,8,,4,,758,762,4,0.5,0.1
G1097 LAKE PARK POLICE DEPARTMENT,Lake Park Police Department  ,30.68372,-83.182655,6,,3,,438,441,3,0.5,0.1
